4	 1:1.29555351464296	 2:1.00801223843533	 3:-.843995532216004	 4:-.80470640575722	 5:4.41052114646198E-03	 6:.664852841331333	 7:.593962222236474	 8:1.34132986064074	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:1.05538484433444	 13:-.716259742250555	 14:-.786819328954803	 15:-.105304810091389	 16:-1.03815387897482
17	 1:-.739407829196054	 2:-.851145780580843	 3:-.843995532216004	 4:.431373638051888	 5:.53633266946349	 6:-6.59805523206427E-02	 7:-1.01245664976646	 8:.584663936600689	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-1.03815387897482
15	 1:.185574599821683	 2:-.107482572974372	 3:-.873738099322049	 4:.90303576003168	 5:4.41052114646198E-03	 6:.664852841331333	 7:.593962222236474	 8:.33874751128767	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:1.05538484433444	 13:-.716259742250555	 14:-.423135162518471	 15:-.105304810091389	 16:-.240089206131876
2	 1:-.739407829196054	 2:-.29339837487599	 3:-.94809451708716	 4:.805450493415171	 5:.890947435008175	 6:-1.52764733962459	 7:1.23652977103764	 8:.925163602418715	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-1.03815387897482
12	 1:-.554411343392506	 2:-.665229978679225	 3:.405192286237865	 4:-.267987439366423	 5:.713640052235832	 6:.847561189744327	 7:-.209247213764993	 8:1.22782997203473	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:-2.67454922293695	 13:-.716259742250555	 14:-.69589828734572	 15:-.105304810091389	 16:.329956988755941
15	 1:-.184418371785411	 2:7.84332289272449E-02	 3:-.918351949981116	 4:-1.27636852773701	 5:-.350204244398223	 6:-.43139724914663	 7:-6.64544251425102E-02	 8:-9.63353950353624E-02	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.69589828734572	 15:-.105304810091389	 16:-.696126162042131
12	 1:-.739407829196054	 2:-.479314176777608	 3:1.49079598560849	 4:-.105345328338908	 5:.181717903918804	 6:.847561189744327	 7:1.18298247530421	 8:.357664159388672	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-2.33889683064441	 12:-.436588782574117	 13:-.716259742250555	 14:1.39528566966318	 15:-.105304810091389	 16:-1.03815387897482
19	 1:-.739407829196054	 2:7.84332289272449E-02	 3:-.397857025625337	 4:1.32590524870321	 5:1.60017696609754	 6:.664852841331333	 7:1.07588788383735	 8:1.79532941506478	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:1.05538484433444	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:.329956988755941
4	 1:.370571085625231	 2:-.29339837487599	 3:1.31234058297222	 4:-1.26010431663426	 5:-1.41404854103227	 6:-.248688900733636	 7:-1.19094763554456	 8:.565747288499687	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.423135162518471	 15:-.105304810091389	 16:-.240089206131876
14	 1:2.5905289152678	 2:2.30942285174665	 3:-1.03732221840529	 4:-.34930849488018	 5:4.41052114646198E-03	 6:.664852841331333	 7:.593962222236474	 8:1.05758013912572	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:1.05538484433444	 13:-.716259742250555	 14:-.968661412172969	 15:-.105304810091389	 16:-1.03815387897482
9	 1:-.739407829196054	 2:1.56575964414018	 3:.182123032942531	 4:.90303576003168	 5:-1.41404854103227	 6:.664852841331333	 7:-.798267466832736	 8:1.34132986064074	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:1.05538484433444	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-.240089206131876
14	 1:-.184418371785411	 2:-.107482572974372	 3:1.17849903099502	 4:-.251723228263671	 5:-1.41404854103227	 6:.664852841331333	 7:-.137850819453751	 8:-1.26916757729745	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-2.33889683064441	 12:1.05538484433444	 13:-.716259742250555	 14:-.968661412172969	 15:-.105304810091389	 16:-1.03815387897482
1	 1:-.739407829196054	 2:.45026483273048	 3:1.05952876257084	 4:-1.11372641670949	 5:.53633266946349	 6:-6.59805523206427E-02	 7:-1.01245664976646	 8:.584663936600689	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-.240089206131876
17	 1:5.78114018136053E-04	 2:.264349030828862	 3:-.472213443390448	 4:-.267987439366423	 5:.713640052235832	 6:1.5783945833963	 7:1.89694641841663	 8:1.09541343532772	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:-.436588782574117	 13:-.716259742250555	 14:-1.15050349539113	 15:-.105304810091389	 16:-1.03815387897482
14	 1:.185574599821683	 2:-.107482572974372	 3:-.962965800640182	 4:-.34930849488018	 5:-1.41404854103227	 6:-1.52764733962459	 7:-1.45868411421172	 8:1.13324673152973	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:2.73652435951062	 12:-.436588782574117	 13:-.716259742250555	 14:-.968661412172969	 15:-.105304810091389	 16:-.696126162042131
17	 1:-.554411343392506	 2:-.479314176777608	 3:-.725025263791826	 4:-1.26010431663426	 5:.713640052235832	 6:-1.71035568803758	 7:1.21868067245983	 8:.225247622681662	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:2.547358471243	 13:-.716259742250555	 14:-.69589828734572	 15:-.105304810091389	 16:-.240089206131876
1	 1:-.924404314999601	 2:-.29339837487599	 3:-1.61730227697316	 4:-1.03240536119574	 5:-1.41404854103227	 6:-.979522294385613	 7:-1.31589132558923	 8:1.30349656443874	 9:4.76086184144955	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:.378101972417978	 14:-5.94509960821391E-02	 15:-.105304810091389	 16:.329956988755941
15	 1:-.739407829196054	 2:-.479314176777608	 3:-1.15629248682947	 4:.301259949229877	 5:-1.41404854103227	 6:-1.89306403645058	 7:-.137850819453751	 8:-.512501653257394	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-.240089206131876
15	 1:1.29555351464296	 2:1.19392804033695	 3:.315964584919731	 4:.951828393339934	 5:-1.05943377548759	 6:1.5783945833963	 7:.272678447835887	 8:1.09541343532772	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-2.67454922293695	 13:-.716259742250555	 14:-.69589828734572	 15:-.105304810091389	 16:.329956988755941
3	 1:-.739407829196054	 2:-1.03706158248246	 3:1.28259801586617	 4:-1.03240536119574	 5:.53633266946349	 6:-1.52764733962459	 7:-1.01245664976646	 8:-1.43941741020646	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:1.01401242262132
16	 1:5.78114018136053E-04	 2:-.29339837487599	 3:.539033838215065	 4:.740393649004165	 5:.53633266946349	 6:-.43139724914663	 7:-1.01245664976646	 8:-9.63353950353624E-02	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.69589828734572	 15:-.105304810091389	 16:.329956988755941
2	 1:5.78114018136053E-04	 2:-.479314176777608	 3:-.145045205223958	 4:.284995738127125	 5:.713640052235832	 6:-1.71035568803758	 7:-.994607551188651	 8:-.172001987439368	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:-.436588782574117	 13:-.716259742250555	 14:-1.15050349539113	 15:-.105304810091389	 16:-.240089206131876
18	 1:3.14551837267844	 2:2.68125445554989	 3:-.843995532216004	 4:-.5770074503187	 5:1.60017696609754	 6:.482144492918339	 7:1.07588788383735	 8:-.98541785578243	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.968661412172969	 15:-.105304810091389	 16:-1.03815387897482
7	 1:.555567571428778	 2:.636180634632098	 3:1.17849903099502	 4:-1.19504747222325	 5:-.527511627170566	 6:-6.59805523206427E-02	 7:-1.4229859170561	 8:.584663936600689	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:2.73652435951062	 12:-.436588782574117	 13:-.716259742250555	 14:-.69589828734572	 15:-.105304810091389	 16:-1.03815387897482
3	 1:2.03553945785715	 2:1.7516754460418	 3:.776974375063421	 4:.236203104818871	 5:-1.05943377548759	 6:-1.52764733962459	 7:.272678447835887	 8:1.13324673152973	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.968661412172969	 15:-.105304810091389	 16:.329956988755941
9	 1:.555567571428778	 2:.45026483273048	 3:-.561441144708581	 4:1.2283199820867	 5:1.60017696609754	 6:.664852841331333	 7:1.36147346108232	 8:.168497678378657	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:1.05538484433444	 13:-.716259742250555	 14:.576996295181442	 15:-.105304810091389	 16:-1.03815387897482
17	 1:-.369414857588959	 2:-.479314176777608	 3:.776974375063421	 4:.90303576003168	 5:4.41052114646198E-03	 6:-1.52764733962459	 7:-1.74426969145668	 8:-1.43941741020646	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.423135162518471	 15:-.105304810091389	 16:-1.03815387897482
4	 1:-.739407829196054	 2:-.851145780580843	 3:.821588225722488	 4:-1.11372641670949	 5:.713640052235832	 6:.664852841331333	 7:-.994607551188651	 8:-.966501207681428	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:1.05538484433444	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-.924144639997258
1	 1:-.739407829196054	 2:-.107482572974372	 3:1.17849903099502	 4:-1.01614115009298	 5:.713640052235832	 6:-1.52764733962459	 7:1.21868067245983	 8:-1.43941741020646	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-1.03815387897482
12	 1:-.924404314999601	 2:.264349030828862	 3:-2.03369821645778	 4:1.01688523775094	 5:.713640052235832	 6:-1.52764733962459	 7:1.04018968668173	 8:-1.43941741020646	 9:4.76086184144955	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:-.436588782574117	 13:.378101972417978	 14:-5.94509960821391E-02	 15:-.105304810091389	 16:.329956988755941
1	 1:-.739407829196054	 2:-.851145780580843	 3:1.58002368692662	 4:-1.60165274979204	 5:4.41052114646198E-03	 6:.847561189744327	 7:-1.06600394549989	 8:.357664159388672	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:1.58405861750914
5	 1:-.739407829196054	 2:-.29339837487599	 3:1.31234058297222	 4:1.1957915598812	 5:.53633266946349	 6:-1.52764733962459	 7:-1.01245664976646	 8:1.28457991633774	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-.240089206131876
14	 1:5.78114018136053E-04	 2:-.29339837487599	 3:-.888609382875071	 4:.138617838202362	 5:4.41052114646198E-03	 6:.664852841331333	 7:-.387738199543097	 8:.33874751128767	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:1.05538484433444	 13:-.716259742250555	 14:-.968661412172969	 15:-.105304810091389	 16:-.696126162042131
9	 1:-.184418371785411	 2:-.29339837487599	 3:1.17849903099502	 4:-2.40242728251517E-02	 5:.890947435008175	 6:-.43139724914663	 7:.344074842147129	 8:-.436835060853388	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:-.332214120909388	 15:9.52256354112135	 16:.443966227733505
2	 1:-.924404314999601	 2:7.84332289272449E-02	 3:-2.88136137898005	 4:1.06567787105919	 5:.713640052235832	 6:1.5783945833963	 7:-.994607551188651	 8:1.36024650874174	 9:4.76086184144955	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:-.436588782574117	 13:.378101972417978	 14:-5.94509960821391E-02	 15:-.105304810091389	 16:.329956988755941
12	 1:-.924404314999601	 2:-1.40889318628569	 3:-3.13417319938143	 4:-.983612727887486	 5:.713640052235832	 6:.664852841331333	 7:1.34362436250451	 8:-.682751486166407	 9:4.76086184144955	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:1.05538484433444	 13:.378101972417978	 14:-5.94509960821391E-02	 15:-.105304810091389	 16:.557975466711068
12	 1:-.739407829196054	 2:-.479314176777608	 3:-.843995532216004	 4:-.80470640575722	 5:.53633266946349	 6:-6.59805523206427E-02	 7:.647509517969905	 8:.584663936600689	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-1.03815387897482
2	 1:1.48055000044651	 2:1.7516754460418	 3:.315964584919731	 4:-1.11372641670949	 5:.53633266946349	 6:.847561189744327	 7:-1.01245664976646	 8:-.947584559580427	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-2.33889683064441	 12:-.436588782574117	 13:-.716259742250555	 14:-.423135162518471	 15:-.105304810091389	 16:-.468107684087004
17	 1:.185574599821683	 2:7.84332289272449E-02	 3:.434934853343909	 4:1.17952734877845	 5:.713640052235832	 6:.664852841331333	 7:-.994607551188651	 8:1.34132986064074	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:1.05538484433444	 13:-.716259742250555	 14:-.968661412172969	 15:-.105304810091389	 16:-.240089206131876
17	 1:.740564057232326	 2:7.84332289272449E-02	 3:-.754767830897871	 4:-1.11372641670949	 5:-1.59135592380462	 6:.664852841331333	 7:.236980250680266	 8:1.05758013912572	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:1.05538484433444	 13:-.716259742250555	 14:-.69589828734572	 15:-.105304810091389	 16:1.92608633444183
2	 1:-.739407829196054	 2:-.851145780580843	 3:.895944643487599	 4:-1.2438401055315	 5:4.41052114646198E-03	 6:-6.59805523206427E-02	 7:.593962222236474	 8:.584663936600689	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:.329956988755941
4	 1:-.554411343392506	 2:-1.22297738438407	 3:-.977837084193205	 4:1.29337682649771	 5:.890947435008175	 6:.482144492918339	 7:-1.67287329714544	 8:-.98541785578243	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.423135162518471	 15:-.105304810091389	 16:1.58405861750914
2	 1:-.554411343392506	 2:-.479314176777608	 3:.910815927040621	 4:.886771548928928	 5:-1.41404854103227	 6:-6.59805523206427E-02	 7:-1.45868411421172	 8:.584663936600689	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.69589828734572	 15:-.105304810091389	 16:1.81207709546426
2	 1:.740564057232326	 2:.264349030828862	 3:1.01491491191177	 4:1.17952734877845	 5:.713640052235832	 6:.664852841331333	 7:1.04018968668173	 8:-.966501207681428	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:1.05538484433444	 13:-.716259742250555	 14:-1.15050349539113	 15:-.105304810091389	 16:-.240089206131876
14	 1:1.66554648625006	 2:1.19392804033695	 3:.182123032942531	 4:1.30964103760046	 5:-1.9459706893493	 6:.664852841331333	 7:.433320335036181	 8:-1.26916757729745	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:1.05538484433444	 13:-.716259742250555	 14:-.968661412172969	 15:9.52256354112135	 16:.785993944666196
15	 1:.185574599821683	 2:-.29339837487599	 3:-.754767830897871	 4:.707865226798663	 5:-1.41404854103227	 6:-6.59805523206427E-02	 7:1.11158608099297	 8:.584663936600689	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.968661412172969	 15:-.105304810091389	 16:2.15410481239695
17	 1:-.369414857588959	 2:-1.03706158248246	 3:1.05952876257084	 4:.919299971134431	 5:.53633266946349	 6:-1.1622306427986	 7:-1.01245664976646	 8:.263080918883664	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.968661412172969	 15:-.105304810091389	 16:2.15410481239695
15	 1:.555567571428778	 2:.45026483273048	 3:-.769639114450893	 4:1.50481157083348	 5:-1.41404854103227	 6:-1.52764733962459	 7:1.29007706677108	 8:1.41699645304475	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.69589828734572	 15:-.105304810091389	 16:-.240089206131876
5	 1:.370571085625231	 2:1.37984384223856	 3:-.725025263791826	 4:1.32590524870321	 5:.713640052235832	 6:-.614105597559625	 7:1.21868067245983	 8:.300914215085667	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.423135162518471	 15:-.105304810091389	 16:-.240089206131876
17	 1:-.554411343392506	 2:-.479314176777608	 3:-.754767830897871	 4:-1.19504747222325	 5:.890947435008175	 6:.847561189744327	 7:.344074842147129	 8:1.07649678722672	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-2.67454922293695	 13:-.716259742250555	 14:-.69589828734572	 15:-.105304810091389	 16:.329956988755941
7	 1:-.554411343392506	 2:-.29339837487599	 3:-.382985742072314	 4:-1.30889694994251	 5:.890947435008175	 6:-.43139724914663	 7:-.97675845261084	 8:-9.63353950353624E-02	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:-.436588782574117	 13:-.716259742250555	 14:.122391087136026	 15:-.105304810091389	 16:-1.03815387897482
5	 1:2.2205359436607	 2:2.30942285174665	 3:-.977837084193205	 4:-1.2438401055315	 5:.713640052235832	 6:1.39568623498331	 7:1.04018968668173	 8:.717080473307699	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.968661412172969	 15:-.105304810091389	 16:-.240089206131876
14	 1:-.554411343392506	 2:-.851145780580843	 3:1.5651524033736	 4:-.983612727887486	 5:-1.05943377548759	 6:.664852841331333	 7:.272678447835887	 8:.33874751128767	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:1.05538484433444	 13:-.716259742250555	 14:-.69589828734572	 15:-.105304810091389	 16:-.468107684087004
7	 1:-.369414857588959	 2:-.479314176777608	 3:-.843995532216004	 4:-.999876938990238	 5:-2.12327807212165	 6:.664852841331333	 7:-1.24449493127799	 8:-.682751486166407	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-2.67454922293695	 13:-.716259742250555	 14:-.423135162518471	 15:-.105304810091389	 16:.557975466711068
17	 1:-.184418371785411	 2:.264349030828862	 3:-.962965800640182	 4:-1.11372641670949	 5:.713640052235832	 6:1.21297788657031	 7:-.316341805231855	 8:.698163825206698	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.423135162518471	 15:-.105304810091389	 16:-.240089206131876
17	 1:7.21544106035649	 2:7.51506530499195	 3:.955429777699688	 4:-.251723228263671	 5:.890947435008175	 6:.664852841331333	 7:1.57566264401604	 8:1.34132986064074	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:1.05538484433444	 13:-.716259742250555	 14:-1.15050349539113	 15:-.105304810091389	 16:-1.03815387897482
9	 1:2.2205359436607	 2:2.30942285174665	 3:.821588225722488	 4:-5.65526950306546E-02	 5:.713640052235832	 6:-1.71035568803758	 7:1.21868067245983	 8:.225247622681662	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.968661412172969	 15:-.105304810091389	 16:-.924144639997258
15	 1:-.739407829196054	 2:-.851145780580843	 3:1.17849903099502	 4:.78918628231242	 5:1.60017696609754	 6:.847561189744327	 7:1.07588788383735	 8:.357664159388672	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:1.39528566966318	 15:-.105304810091389	 16:-.240089206131876
7	 1:-.369414857588959	 2:-.665229978679225	 3:.330835868472753	 4:.837978915620674	 5:-.527511627170566	 6:-1.52764733962459	 7:-8.43035237203207E-02	 8:.925163602418715	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:-.716259742250555	 14:-.968661412172969	 15:-.105304810091389	 16:.329956988755941
9	 1:.555567571428778	 2:.822096436533715	 3:.211865600048575	 4:-.5770074503187	 5:.713640052235832	 6:.664852841331333	 7:1.34362436250451	 8:.33874751128767	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:1.46766906197186	 12:1.05538484433444	 13:-.716259742250555	 14:-.69589828734572	 15:-.105304810091389	 16:-1.03815387897482
2	 1:-.369414857588959	 2:.264349030828862	 3:.643132823086221	 4:1.50481157083348	 5:-.527511627170566	 6:-1.52764733962459	 7:-1.79781698719011	 8:.244164270782663	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:-.69589828734572	 15:-.105304810091389	 16:-1.03815387897482
14	 1:.740564057232326	 2:.45026483273048	 3:-.918351949981116	 4:8.98252048941083E-02	 5:-.350204244398223	 6:.664852841331333	 7:-1.7799678886123	 8:1.05758013912572	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:1.05538484433444	 13:1.47246368708651	 14:-.69589828734572	 15:-.105304810091389	 16:1.01401242262132
2	 1:-.739407829196054	 2:-.29339837487599	 3:-.368114458519292	 4:-.479422183702192	 5:-1.41404854103227	 6:-.43139724914663	 7:.933095095214872	 8:-1.08000109628743	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-1.03815387897482
7	 1:-.739407829196054	 2:.45026483273048	 3:-.516827294049515	 4:.236203104818871	 5:-.17289686162588	 6:1.39568623498331	 7:1.46856805254918	 8:-.304418524146378	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-1.03815387897482
9	 1:-.739407829196054	 2:-.665229978679225	 3:1.17849903099502	 4:.78918628231242	 5:-1.23674115825993	 6:-6.59805523206427E-02	 7:-.887512959721788	 8:.584663936600689	 9:-.210019747116933	 10:-2.23648741064378E-02	 11:-.435613884336275	 12:-.436588782574117	 13:1.47246368708651	 14:1.39528566966318	 15:-.105304810091389	 16:-1.03815387897482
